word1,word2,count
છે,કે,2724
છે,અને,2131
છે,આ,1806
શકે,છે,1451
આવે,છે,1389
કરે,છે,1280
રહી,છે,1053
હોય,છે,1025
થાય,છે,960
છે,જે,872
હતું,કે,853
છે,તે,852
રહ્યા,છે,811
કરવામાં,આવી,803
કરી,હતી,799
આવી,છે,764
કરવા,માટે,712
કહ્યું,કે,677
છે,પરંતુ,663
કરી,છે,605
આવી,હતી,557
જાય,છે,551
છે,ત્યારે,543
શકો,છો,529
રહ્યો,છે,509
રહ્યું,છે,494
કે,આ,477
જણાવ્યું,હતું,477
કારણ,કે,467
કરવામાં,આવે,454
છે,જ્યારે,441
છે,જેમાં,419
હોય,તો,412
છે,તો,408
આવ્યો,છે,400
કર્યો,હતો,388
રહે,છે,384
આવ્યા,છે,374
છે,જો,372
કરી,શકે,362
જો,કે,354
આવ્યા,હતા,347
આવ્યું,છે,344
ખૂબ,જ,344
શકાય,છે,341
કેવી,રીતે,337
કહ્યું,હતું,336
હતી,અને,329
કે,તે,319
આવ્યો,હતો,319
કર્યો,છે,316
મળે,છે,315
અને,તે,303
કરી,રહ્યા,286
આપે,છે,284
હતી,આ,281
કરવામાં,આવ્યો,261
કરી,શકો,260
જણાવ્યું,કે,253
હતા,અને,253
કરવામાં,આવ્યું,252
ગયા,હતા,251
થયો,છે,251
કરવામાં,આવશે,249
કહે,છે,248
રહ્યા,હતા,242
જો,તમે,240
સાથે,જ,240
આવ્યું,હતું,236
થઈ,શકે,235
હતો,અને,234
જરૂરી,છે,233
આપવામાં,આવી,233
કરવામાં,આવ્યા,232
પડે,છે,230
એ,છે,229
થયા,છે,229
એટલે,કે,229
ગયા,છે,229
જરૂર,છે,228
કર્યું,હતું,228
લાગે,છે,226
જોવા,મળી,226
અને,આ,226
કે,જે,226
થયો,હતો,225
સૌથી,વધુ,224
આપી,હતી,222
છે,કારણ,221
છે,પણ,215
આ,ઉપરાંત,215
છે,એક,213
ખાસ,કરીને,211
રહ્યાં,છે,202
ગયો,હતો,201
કર્યું,છે,200
કરી,રહી,195
ગયો,છે,195
હતા,આ,192
કરી,શકાય,192
ઉલ્લેખનીય,છે,191
છે,તેથી,190
સામાન્ય,રીતે,190
કોઈ,પણ,189
ગઈ,છે,188
તે,માટે,187
હતો,આ,183
હોઈ,શકે,182
ધરાવે,છે,181
છે,તેઓ,177
અને,અન્ય,177
આવી,રહી,173
શરૂ,કરી,172
ગઈ,હતી,171
સમાવેશ,થાય,171
હાથ,ધરી,168
છે,જેના,168
હતી,કે,168
પણ,આ,167
થયું,છે,167
થઈ,હતી,166
રહી,હતી,166
થયા,હતા,163
માટે,એક,159
જેના,કારણે,158
આવે,તો,158
એક,જ,157
આ,અંગે,157
અને,તેના,156
છે,જોકે,155
છે,જેથી,155
થઈ,છે,153
તેમણે,કહ્યું,151
છે,હવે,150
છે,તેના,148
તો,તે,148
જ,નહીં,148
નવી,દિલ્હી,147
હતી,જેમાં,146
છે,એ,146
થઈ,ગઈ,146
આ,સાથે,145
અને,તેને,144
કર્યા,હતા,143
જોવા,મળે,143
મળી,હતી,142
