Ngram,Frequency
કરવામાં આવી છે.,128
કરવામાં આવે છે.,103
કરી શકે છે.,98
"જણાવ્યું હતું કે,",98
કરવામાં આવી હતી.,89
એ છે કે,87
જણાવ્યું હતું કે,80
કહ્યું હતું કે,75
"કહ્યું હતું કે,",72
કરી શકો છો.,68
કરી રહી છે.,66
સોશિયલ મીડિયા પર,65
છે કે આ,63
કરી રહ્યા છે.,60
થઈ શકે છે.,57
છે અને તે,56
આવી રહી છે.,55
આવે છે. આ,54
સમાવેશ થાય છે.,54
જોવા મળે છે.,53
હાથ ધરી છે.,52
છે કે તે,50
કરવામાં આવ્યો છે.,47
છે. આ ઉપરાંત,46
આપવામાં આવી છે.,45
હોઈ શકે છે.,45
"ઉલ્લેખનીય છે કે,",45
કહે છે કે,45
ઉલ્લેખનીય છે કે,45
કરી શકાય છે.,44
આવે છે અને,43
આવી રહ્યા છે.,43
ચાલી રહી છે.,42
છે કારણ કે,40
છે અને આ,39
"છે, કારણ કે",38
કરવામાં આવ્યું છે.,37
આ સાથે જ,37
તપાસ હાથ ધરી,37
વાત કરીએ તો,36
કરી શકે છે,36
છે. આ ગામમાં,35
હોય છે અને,34
કરવામાં આવે છે,34
કહ્યું છે કે,34
કરવામાં આવી રહી,34
મળી રહી છે.,33
છે. આ સાથે,33
શકે છે અને,33
કારણ કે તે,33
કેસ નોંધાયા છે.,33
કરે છે અને,32
કરવામાં આવ્યા હતા.,32
જણાવી દઈએ કે,32
માનવામાં આવે છે.,32
રહી છે. આ,32
કરવામાં આવ્યું હતું.,32
વાત એ છે,31
થઈ રહ્યો છે.,31
જોવા મળી રહી,30
કરી દેવામાં આવી,30
કરવામાં આવ્યો હતો.,30
કરે છે. આ,29
આવે છે કે,29
છેલ્લા 24 કલાકમાં,29
કાર્યવાહી હાથ ધરી,28
શકે છે. આ,28
"કરવામાં આવે છે,",28
છે. જો કે,28
લાગે છે કે,27
છે કે જે,27
હોય છે. આ,27
થાય છે અને,27
થઈ ગઈ છે.,27
જોવા મળી રહ્યો,27
જોવા મળી હતી.,26
આવી છે. આ,26
થઈ ગયા છે.,26
થઈ જાય છે.,26
આવી શકે છે.,26
મળી રહ્યો છે.,26
આવી હતી. આ,25
કરી છે. આ,25
કરે છે કે,25
કરવામાં આવી છે,25
કહેવું છે કે,25
"છે કે, આ",25
કામ કરે છે.,24
દેવામાં આવી છે.,24
લાંબા સમય સુધી,24
કરી શકો છો,24
કરવામાં આવ્યા છે.,24
તેમણે કહ્યું કે,23
કરી રહ્યા છે,23
"છે. જો કે,",23
હાથ ધરી હતી.,23
જાય છે અને,23
રહી છે અને,23
હાથ ધરવામાં આવી,23
મોત થયા છે.,23
તમને જણાવી દઈએ,22
એમ પણ કહ્યું,22
આવ્યું છે કે,22
જોવા મળ્યો હતો.,22
થઈ રહી છે.,22
"કહે છે કે,",22
છે. આ સિવાય,21
કરી છે કે,21
કરી દીધી છે.,21
વધુ તપાસ હાથ,21
કરવામાં આવી હતી,21
થઇ શકે છે.,21
એક પછી એક,21
ભારત દેશના પશ્ચિમ,21
દેશના પશ્ચિમ ભાગમાં,21
પશ્ચિમ ભાગમાં આવેલા,21
મદદ કરે છે.,20
કરી હતી અને,20
આપવામાં આવી હતી.,20
રહ્યા છે અને,20
બની શકે છે.,20
થઈ ગયો છે.,20
જઈ રહી છે.,20
નિર્ણય કર્યો છે.,20
આપવામાં આવે છે.,20
કરી રહ્યું છે.,20
છે. ખાસ કરીને,19
છે. જો તમે,19
મળી રહ્યું છે.,19
આવી રહ્યો છે.,19
"કરી શકે છે,",19
"કહેવું છે કે,",19
મળી શકે છે.,19
કરવામાં આવે તો,19
વધી રહી છે.,19
આવી રહ્યું છે.,19
આવી રહી છે,19
કરી હતી. આ,19
ભાગમાં આવેલા ગુજરાત,19
આવેલા ગુજરાત રાજ્યના,19
છે કે તમે,19
છે. તેમણે કહ્યું,18
એટલું જ નહીં,18
ઉપયોગ કરે છે.,18
આવી છે અને,18
નોંધનીય છે કે,18
ઉપસ્થિત રહ્યા હતા.,18
રાજ્ય સરકાર દ્વારા,18
તે ખૂબ જ,18
થઈ રહ્યા છે.,18
કરવામાં આવેલ છે.,18
છે અને તેના,18
આ ગામમાં મુખ્યત્વે,18
"ગામમાં પ્રાથમિક શાળા,",18
"એ છે કે,",18
વધી જાય છે.,18
રહ્યા છે. આ,18
સામે આવી છે.,18
જાહેરાત કરી છે.,17
વધારો થયો છે.,17
માનવું છે કે,17
"કરી શકો છો,",17
હકીકત એ છે,17
આયોજન કરવામાં આવ્યું,17
થાય છે. આ,17
હોઈ શકે છે,17
કરી રહ્યાં છે.,17
લોકોના મોત થયા,17
એક ગામ છે.,17
ગયા હતા અને,17
"તેમણે કહ્યું કે,",16
કર્યું હતું. આ,16
છે. કારણ કે,16
હોય તો તે,16
તેવી શક્યતા છે.,16
જોવા મળ્યો છે.,16
ધરપકડ કરી છે.,16
માનવામાં આવે છે,16
તાલુકામાં આવેલું એક,16
ગામના લોકોનો મુખ્ય,16
લોકોનો મુખ્ય વ્યવસાય,16
"મુખ્ય વ્યવસાય ખેતી,",16
તેમ જ પશુપાલન,16
જ પશુપાલન છે.,16
આ ગામમાં પ્રાથમિક,16
"પ્રાથમિક શાળા, પંચાયતઘર,",16
કેસ સામે આવ્યા,16
કરી હતી કે,16
કરવાની જરૂર છે.,16
રન બનાવ્યા હતા.,16
છે કે તેઓ,15
પર આધાર રાખે,15
રાખવામાં આવી છે.,15
છે. આ માટે,15
જ નહીં પરંતુ,15
કરે છે તે,15
"જણાવી દઈએ કે,",15
જણાવી દઇએ કે,15
થઇ ગઇ છે.,15
"હતું કે, આ",15
તેમણે કહ્યું હતું,15
આવી હતી અને,15
"શકે છે, અને",15
વડાપ્રધાન નરેન્દ્ર મોદીએ,15
"છે, પરંતુ તે",15
મદદ કરી શકે,15
થઈ શકે છે,15
જણાવ્યું છે કે,15
આવેલું એક ગામ,15
પશુપાલન છે. આ,15
શાકભાજીના પાકની ખેતી,15
પાકની ખેતી કરવામાં,15
ખેતી કરવામાં આવે,15
"શાળા, પંચાયતઘર, આંગણવાડી",15
દૂધની ડેરી જેવી,15
ડેરી જેવી સવલતો,15
જેવી સવલતો પ્રાપ્ય,15
કર્યો છે કે,15
કામ કરવા માટે,15
સામે આવ્યા છે.,15
"કહ્યું છે કે,",15
આવી રહ્યું છે,15
થઇ રહી છે.,15
છે અને તેની,15
છે અને એ,15
શરૂ કર્યું હતું.,14
હોવાનું જાણવા મળ્યું,14
પડી શકે છે.,14
ધરપકડ કરી હતી.,14
છે અને તેને,14
વડાપ્રધાન નરેન્દ્ર મોદી,14
એક જ દિવસમાં,14
તો બીજી તરફ,14
પહોંચી ગયો છે.,14
માને છે કે,14
નિર્ણય લીધો છે.,14
છે કે જો,14
છે. જેના કારણે,14
છે. બીજી તરફ,14
જાણવા મળ્યું છે,14
આજે અમે તમને,14
"પંચાયતઘર, આંગણવાડી તેમ",14
આંગણવાડી તેમ જ,14
તેમ જ દૂધની,14
જ દૂધની ડેરી,14
સવલતો પ્રાપ્ય થયેલી,14
પ્રાપ્ય થયેલી છે.,14
નવા કેસ નોંધાયા,14
હોય છે કે,14
લેવામાં આવ્યો છે.,14
કહેવામાં આવ્યું છે,14
રહ્યું છે કે,14
છે કે એક,14
નિર્ણય લેવામાં આવ્યો,14
"વ્યવસાય ખેતી, ખેતમજૂરી",14
"ખેતી, ખેતમજૂરી તેમ",14
ખેતમજૂરી તેમ જ,14
થાય છે કે,14
કરી રહ્યો છે.,14
"આવે છે, જે",13
જાહેરાત કરવામાં આવી,13
છે અને એક,13
ન હોય તો,13
કરી રહ્યા હતા.,13
છે. સાથે જ,13
થાય તે માટે,13
કારણ કે તેઓ,13
ઉપયોગ કરી શકો,13
"જણાવ્યું છે કે,",13
મળી રહ્યા છે.,13
આપી રહ્યા છે.,13
કર્યો હતો અને,13
શરૂ કરવામાં આવી,13
મળી આવી હતી.,13
છે. એટલું જ,13
પણ કહ્યું કે,13
કર્યો હતો. આ,13
છે. આ અંગે,13
તે જ સમયે,13
ધરપકડ કરવામાં આવી,13
જાહેરાત કરી હતી.,13
થઇ રહ્યો છે.,13
જો કે આ,13
પર આધારિત છે.,13
કામ કરે છે,13
છે. ઉલ્લેખનીય છે,13
મોત થયું છે.,13
કહેવામાં આવે છે.,13
માટે પરવાનગી આપે,13
કરી રહી છે,13
ગયો હતો અને,13
પેટ્રોલ અને ડીઝલના,13
"એટલું જ નહીં,",12
આગળની કાર્યવાહી હાથ,12
કરી દીધો હતો.,12
"છે, અને તે",12
છે કે કેમ,12
આવ્યા છે. આ,12
જાણવા મળે છે.,12
આવી રહ્યાં છે.,12
બની જાય છે.,12
દૂર કરવા માટે,12
"આવે છે, પરંતુ",12
ખાતરી કરવા માટે,12
આવ્યા છે અને,12
"છે, ખાસ કરીને",12
કહેવાય છે કે,12
"છો, તો તમે",12
જિલ્લામાં આવેલા કુલ,12
તાલુકાઓ પૈકીના એક,12
"છે, જેમ કે",12
અત્રે ઉલ્લેખનીય છે,12
"કરવામાં આવી હતી,",12
ચાલી રહી છે,12
કરવામાં આવશે. આ,11
હાજર રહ્યા હતા.,11
જાણવા મળ્યું છે.,11
મળી રહી છે,11
પહોંચી શકે છે.,11
કોરોના વાયરસના કારણે,11
હોસ્પિટલમાં દાખલ કરવામાં,11
દાખલ કરવામાં આવ્યા,11
માત્ર એક જ,11
કરી દીધું છે.,11
આપી શકે છે.,11
ઉપયોગ કરવા માટે,11
દર્શાવે છે કે,11
જોવા મળી રહ્યા,11
કરવામાં આવી નથી.,11
પડે છે. આ,11
તપાસ કરવામાં આવી,11
વધુ વાંચવા કરો,11
થઈ ગઈ હતી.,11
નવી દિલ્હી :,11
ગઈ હતી અને,11
બંધ કરી દેવામાં,11
વ્યક્ત કરી હતી.,11
કેન્દ્ર સરકાર દ્વારા,11
પડી રહ્યો છે.,11
"નોંધનીય છે કે,",11
પણ થઈ શકે,11
પરવાનગી આપે છે.,11
બની ગયા છે.,11
બોક્સ ઓફિસ પર,11
કરવામાં આવ્યો હતો,11
રહ્યો છે. આ,11
જાય છે. આ,11
લખ્યું છે કે,11
જણાવે છે કે,11
શકે છે. જો,11
થઈ રહી છે,11
રહી છે ત્યારે,11
છે. ત્યારે આ,11
થઇ જાય છે.,11
કરતા હોય છે.,11
છે જેના કારણે,11
પસાર થાય છે.,11
આવ્યું છે. આ,11
"હોઈ શકે છે,",11
૨૦૨૧ ના રોજ,11
અસર કરે છે.,11
"છે. ઉદાહરણ તરીકે,",11
થઈ રહ્યું છે.,11
માંગ કરી છે.,11
જોવા મળે છે,10
આ બનાવ અંગે,10
છે. પરંતુ આ,10
પર પહોંચી ગયો,10
તમને જણાવી દઇએ,10
