word,count
છે,34988
અને,16151
આ,10115
કે,8932
પણ,7365
માટે,7282
કરી,5540
એક,5464
પર,5439
તે,4728
સાથે,4688
જ,4651
હતી,4612
તો,3463
હતો,3170
હતા,2963
નથી,2868
આવી,2858
કરવામાં,2796
હતું,2635
જે,2585
હોય,2453
દ્વારા,2325
એ,2226
થઈ,1959
વધુ,1917
શકે,1883
આવે,1872
કરવા,1766
પરંતુ,1722
રીતે,1715
તમે,1643
રહી,1554
જો,1547
સુધી,1547
કરે,1531
ન,1496
બાદ,1476
પછી,1461
થાય,1426
કોઈ,1424
ત્યારે,1422
લોકો,1401
કહ્યું,1377
તેના,1353
રહ્યા,1350
ના,1343
માં,1310
જ્યારે,1291
બે,1275
કારણે,1241
તેને,1216
તેની,1211
અથવા,1198
સામે,1194
નહીં,1157
હવે,1153
પોલીસ,1127
મળી,1110
તેઓ,1080
કર્યો,1072
આજે,1050
આવ્યા,1016
તેમના,1010
કામ,1006
છો,1004
આવ્યો,972
જેમાં,958
તમારા,951
કરતા,947
કરીને,924
શરૂ,923
કોરોના,916
અન્ય,912
તેમણે,895
કરો,888
આપી,885
જણાવ્યું,879
થી,876
ગયા,875
તથા,873
થઇ,873
સૌથી,866
વાત,856
તમામ,837
પોતાના,836
દરમિયાન,835
પાસે,827
તેમજ,813
તરીકે,808
જોઈએ,805
ની,801
રહ્યો,777
જોવા,774
ઉપયોગ,765
થશે,761
આવશે,758
આવ્યું,745
જાય,741
માત્ર,740
ખૂબ,732
તેમને,732
વચ્ચે,730
થયા,729
થયો,726
શું,724
ઉપર,722
કારણ,718
વર્ષ,716
કર્યું,714
પહેલા,713
ને,712
તેમની,705
ત્રણ,694
સમય,691
સરકાર,684
રહે,682
બની,680
આપવામાં,678
કેટલાક,673
કરવાની,669
અમે,653
ટકા,647
ત્યાં,638
તમને,637
રહ્યું,637
દિવસ,636
પોતાની,631
પ્રથમ,622
કર્યા,620
કેસ,604
બહાર,603
હું,600
ગયો,599
અંગે,596
ખાતે,593
શકો,593
શકાય,593
નવી,590
તમારી,586
દરેક,573
સામાન્ય,571
નવા,570
મુજબ,569
પોલીસે,564
રહેશે,560
તેમ,556
હાથ,551
કરશે,551
ભારતીય,543
ભારત,538
ખાસ,533
ઘણા,531
બંધ,530
ગઈ,528
તપાસ,526
લઈ,525
એટલે,523
ગુજરાત,521
ઉપરાંત,518
કુલ,517
જરૂર,515
પાણી,511
લોકોને,511
વિશે,508
લઈને,506
જાહેર,505
આવેલા,505
રોજ,504
વધારે,504
સમયે,492
કરતાં,492
દૂર,489
તરફ,487
મળે,481
મોટા,480
મોટી,472
બંને,471
તેણે,470
મારી,464
અનેક,462
અહીં,459
થયું,457
પડી,454
સારવાર,454
તૈયાર,452
માહિતી,452
વિવિધ,452
બીજી,451
જરૂરી,446
નામ,445
અલગ,443
વિસ્તારમાં,442
મોત,442
લાખ,442
મુખ્ય,441
અમદાવાદ,441
જોકે,438
તેથી,437
તેમાં,434
છેલ્લા,433
ફિલ્મ,432
સરકારે,429
બીજા,427
છીએ,418
સમગ્ર,417
ઘણી,417
સહિત,415
આવતા,414
સતત,412
હશે,412
નિર્ણય,410
રાજકોટ,408
જેમ,408
પડે,404
તેવી,403
તેનો,401
ઓફ,396
પડશે,395
મળશે,395
હેઠળ,395
જેથી,393
રૂપિયા,393
છતાં,390
આવેલ,390
રોડ,388
મને,387
દિવસે,386
ચાર,386
અનુસાર,385
જ્યાં,385
કેવી,383
હતાં,381
જેના,381
એવું,381
વર્ષે,380
કોઇ,376
હોવાનું,375
આપે,375
જિલ્લા,373
મદદ,371
અસર,370
કરોડ,370
પટેલ,369
સારી,368
પાંચ,368
વખતે,367
લગભગ,367
આપણે,365
બધા,364
ભાગ,364
જેવા,363
યોગ્ય,360
ફરી,360
ભારે,357
એવી,354
ચાલુ,353
વખત,351
આગળ,351
મહિલા,350
હાલ,349
પહોંચી,346
જેને,345
ગુજરાતમાં,345
આવા,344
જેવી,343
મોદી,343
ટીમ,341
ચૂંટણી,339
કોંગ્રેસ,339
એવા,338
વરસાદ,337
બનાવી,336
દેશમાં,336
છું,332
વધારો,331
તા,331
એમ,329
ઘરે,329
દિલ્હી,327
ઘટના,325
આગામી,324
પહેલાં,324
લગ્ન,323
થતા,323
જિલ્લામાં,318
રાજ્ય,317
વધી,315
સવારે,315
ફરિયાદ,313
લઇ,313
જશે,310
ચાલી,310
હાલમાં,309
ભાજપ,309
કરવાનો,307
લાગે,306
રાજ્યમાં,305
નો,304
કેન્દ્ર,302
પ્રમુખ,301
પાસેથી,300
પ્રમાણે,300
હજાર,298
મારા,297
સમયમાં,296
કરવો,296
કાર્યવાહી,295
ભારતમાં,295
શ્રી,293
રહ્યાં,292
આમ,292
મુખ્યમંત્રી,291
આરોગ્ય,291
રૂ,291
પસંદ,289
સમાવેશ,287
રહેતા,287
હોવાથી,286
કંપની,286
કેમ,285
રહેલા,284
સરકારી,283
દીધી,282
લીધો,282
આપવા,280
અત્યાર,276
કહે,276
શહેરમાં,275
જાહેરાત,275
ગયું,275
તેનું,274
વ્યક્તિ,274
વર્ષની,273
કરવું,272
મંત્રી,271
કરવાનું,270
વિકાસ,270
સંપૂર્ણ,270
લીધી,268
જતા,268
બનાવવા,265
દાખલ,265
હજુ,265
હોસ્પિટલમાં,264
લેવા,264
નક્કી,264
મામલે,264
સોશિયલ,263
ગંભીર,263
લેવામાં,261
પૂર્વ,261
સ્થિતિ,261
યોજના,259
બાળકો,257
હતુ,257
નજીક,256
લાભ,256
આયોજન,256
સુધીમાં,254
આપ્યો,253
ધરપકડ,251
જિલ્લાના,251
કરવી,251
દેવામાં,251
વીડિયો,250
બેઠક,249
કોઈપણ,249
લઇને,248
દર,247
તમારે,246
આધારે,246
વગર,245
